[2024-08-01 01:43:23,275][hydra.utils][INFO] - Instantiating <mofdiff.data.datamodule.DataModule>
[2024-08-01 01:43:28,482][hydra.utils][INFO] - Instantiating <mofdiff.model.bb_encoder.BBEncoder>
[2024-08-01 01:43:28,533][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmptoeqayb7
[2024-08-01 01:43:28,534][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmptoeqayb7/_remote_module_non_scriptable.py
[2024-08-01 01:43:30,421][hydra.utils][INFO] - Passing scaler from datamodule to model <None>
[2024-08-01 01:43:30,422][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2024-08-01 01:43:30,422][hydra.utils][INFO] - Adding callback <EarlyStopping>
[2024-08-01 01:43:30,423][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2024-08-01 01:43:30,427][hydra.utils][INFO] - TensorBoard Logger logs into <{cfg.logging.tensorboard.save_dir}>!
[2024-08-01 01:43:30,440][hydra.utils][INFO] - Instantiating the Trainer
[2024-08-01 01:43:30,806][hydra.utils][INFO] - Starting training!
[2024-09-05 17:10:36,077][hydra.utils][INFO] - Instantiating <mofdiff.data.datamodule.DataModule>
[2024-09-05 17:37:00,588][hydra.utils][INFO] - Instantiating <mofdiff.data.datamodule.DataModule>
[2024-09-05 17:38:03,783][hydra.utils][INFO] - Instantiating <mofdiff.data.datamodule.DataModule>
[2024-09-05 17:39:01,898][hydra.utils][INFO] - Instantiating <mofdiff.data.datamodule.DataModule>
[2024-09-05 17:40:16,168][hydra.utils][INFO] - Instantiating <mofdiff.data.datamodule.DataModule>
[2024-09-05 17:41:22,649][hydra.utils][INFO] - Instantiating <mofdiff.data.datamodule.DataModule>
[2024-09-05 17:41:29,697][hydra.utils][INFO] - Instantiating <mofdiff.model.bb_encoder.BBEncoder>
[2024-09-05 17:41:29,977][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmpuujk81p9
[2024-09-05 17:41:29,978][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmpuujk81p9/_remote_module_non_scriptable.py
[2024-09-05 17:41:32,294][hydra.utils][INFO] - Passing scaler from datamodule to model <None>
[2024-09-05 17:41:32,296][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2024-09-05 17:41:32,296][hydra.utils][INFO] - Adding callback <EarlyStopping>
[2024-09-05 17:41:32,298][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2024-09-05 17:41:32,302][hydra.utils][INFO] - TensorBoard Logger logs into <{cfg.logging.tensorboard.save_dir}>!
[2024-09-05 17:41:32,318][hydra.utils][INFO] - found checkpoint: /opt/wty/hof_synthesis/HOF/MOFDiff/mofdiff/data/mof_models/bb/bwdb_bb/last.ckpt
[2024-09-05 17:41:32,318][hydra.utils][INFO] - Instantiating the Trainer
[2024-09-05 17:41:32,631][hydra.utils][INFO] - Starting training!
[2024-09-05 17:53:28,544][hydra.utils][INFO] - Instantiating <mofdiff.data.datamodule.DataModule>
[2024-09-05 17:53:29,470][hydra.utils][INFO] - Instantiating <mofdiff.model.bb_encoder.BBEncoder>
[2024-09-05 17:53:29,507][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmpro7swn4_
[2024-09-05 17:53:29,507][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmpro7swn4_/_remote_module_non_scriptable.py
[2024-09-05 17:53:31,220][hydra.utils][INFO] - Passing scaler from datamodule to model <None>
[2024-09-05 17:53:31,221][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2024-09-05 17:53:31,221][hydra.utils][INFO] - Adding callback <EarlyStopping>
[2024-09-05 17:53:31,223][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2024-09-05 17:53:31,226][hydra.utils][INFO] - TensorBoard Logger logs into <{cfg.logging.tensorboard.save_dir}>!
[2024-09-05 17:53:31,240][hydra.utils][INFO] - Instantiating the Trainer
[2024-09-05 17:53:31,489][hydra.utils][INFO] - Starting training!
[2024-09-06 17:25:40,967][hydra.utils][INFO] - Instantiating <mofdiff.data.datamodule.DataModule>
[2024-09-06 17:25:41,939][hydra.utils][INFO] - Instantiating <mofdiff.model.bb_encoder.BBEncoder>
[2024-09-06 17:25:41,975][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmp97exsn9h
[2024-09-06 17:25:41,976][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmp97exsn9h/_remote_module_non_scriptable.py
[2024-09-06 17:25:43,787][hydra.utils][INFO] - Passing scaler from datamodule to model <None>
[2024-09-06 17:25:43,788][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2024-09-06 17:25:43,788][hydra.utils][INFO] - Adding callback <EarlyStopping>
[2024-09-06 17:25:43,789][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2024-09-06 17:25:43,792][hydra.utils][INFO] - TensorBoard Logger logs into <{cfg.logging.tensorboard.save_dir}>!
[2024-09-06 17:25:43,801][hydra.utils][INFO] - Instantiating the Trainer
[2024-09-06 17:25:44,060][hydra.utils][INFO] - Starting training!
[2024-09-06 17:29:12,951][hydra.utils][INFO] - Instantiating <mofdiff.data.datamodule.DataModule>
[2024-09-06 17:29:21,282][hydra.utils][INFO] - Instantiating <mofdiff.model.bb_encoder.BBEncoder>
[2024-09-06 17:29:21,326][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmpar0an6ak
[2024-09-06 17:29:21,327][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmpar0an6ak/_remote_module_non_scriptable.py
